Job Position,Company,Location,Job Type,Posted Date,Key Skills,Salary
Data Scientist,Valiance Analytics,Uttar Pradesh,Full-time,PostedPosted 30+ days ago,Data science,400308
Data Science Intern,Foundry- Internships,"Bengaluru, Karnataka",Full-time,PostedPosted 7 days ago,R,631890
Data Scientist,Grid Dynamics,"Hyderabad, Telangana",Full-time,PostedPosted 13 days ago,R,698554
Junior Data Scientist,Other Side Consulting,"Bengaluru, Karnataka",Full-time,Employer Active 3 days ago,Analytics,425725
DATA SCIENTIST,Tech27 Systems Ltd.,"Calicut, Kerala",Full-time,PostedPosted 30+ days ago,Data science,567330
Data Scientist,Hewlett Packard,"Bengaluru, Karnataka",Full-time,PostedJust posted,Statistics,517817
AI / ML Engineer,Accenture,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Ai,727688
Expert- Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 12 days ago,SQL,337437
DATA SCIENTIST,Tanla Platforms,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitLab,484464
ML Engineer,HCT INFOTECH,Remote,Full-time,Employer Active 4 days ago,Data science,876986
Data Scientist,Ford Motor Company,"Chennai, Tamil Nadu",Full-time,PostedPosted 7 days ago,Data Analysis,501280
Data Scientist,Anblicks,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Git,407996
Data Scientist (ML & AI),Lightrains Technolabs,"Thiruvananthapuram, Kerala",Full-time,PostedPosted 30+ days ago,GitHub,926584
IT Trainee/Assistant Engineer in AI/ML,Bhoruka Extrusions,"Mysuru, Karnataka",Fresher,PostedJust posted,Machine Learning,932458
Associate Data Scientist,Clarivate,"Hybrid work in Noida, Uttar Pradesh",Full-time,PostedPosted 13 days ago,Machine Learning,736573
Data Scientist,Lowe's,"Bengaluru, Karnataka",Full-time,PostedJust posted,Ai,842080
Sr. Data Scientist,Amgen,"Hyderabad, Telangana",Full-time,PostedPosted 9 days ago,GitLab,614321
Data Scientist,Ericsson,"Noida, Uttar Pradesh",Full-time,PostedPosted 6 days ago,Git,563224
Analytics Engineer (Analytics Engineer 3),Opendoor,"Hyderabad, Telangana",Full-time,PostedJust posted,Power BI,908489
Data Scientist,Hexagon Asset Lifecycle Intelligence,"Hyderabad, Telangana",Full-time,PostedPosted 18 days ago,R,809100
Data Science - Intern,MNJ Software,Remote,Full-time,PostedPosted 30+ days ago,AWS,805606
Data Analytics Engineer,Spintly India Private Limited,"Madgaon, Goa",Full-time,PostedJust posted,GitHub,995640
Data Scientist,ANZ Banking Group,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Data science,934020
ML Engineer,Electronic Arts,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Azure,302450
Data Science,Proyouth.in,Remote,Full-time,Employer Active 4 days ago,Data science,489079
Data Science Intern,Foundry- Internships,"Bengaluru, Karnataka",Full-time,PostedPosted 7 days ago,Azure,508267
"Product Data Scientist, Geo Data Insights an Analytics",Google,"Hyderabad, Telangana",Full-time,PostedPosted 10 days ago,SQL,868903
AI / ML Engineer,Accenture,"Nagpur, Maharashtra",Full-time,PostedPosted 10 days ago,Data Analysis,374552
ML Engineer Internship,esystems ai tech solutions,"Hyderabad, Telangana",Full-time,Employer Active 12 days ago,Natural Language Processing,519730
Data Scientist,Lenovo,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,PowerShell,977274
Data Scientist - AI Engineer,Oracle,India,Full-time,PostedPosted 6 days ago,Machine Learning,806708
JD For Data Science Intern,DeepTek Medical Imaging,"Pune, Maharashtra",Full-time,PostedPosted 3 days ago,Data mining,394356
AI/ML Intern,BumbleB,"Remote in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Data mining,437435
"Data Scientist AFC - Analytics Analyst, NCT",Deutsche Bank,"Bengaluru, Karnataka",Full-time,PostedPosted 7 days ago,GitLab,775669
Data Scientist (Machine Learning),TechStep,"Hadapsar, Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Git,901796
Data Science,Globussoft Technologies,"Koramangala, Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,GitLab,450257
Data Scientist,ProArch,"Remote in Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Machine Learning,903732
Data Scientist,S&P Global,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data Analysis,350235
Associate Data Scientist-2,Zelis,"Hyderabad, Telangana",Full-time,PostedPosted 21 days ago,SQL,305048
Data Scientist,Crypto Mize,Delhi,Full-time,PostedPosted 30+ days ago,PowerShell,674706
Data Scientist,NielsenIQ,"Vadodara, Gujarat",Full-time,Employer Active 1 day ago,Analytics,432150
Computer Vision Intern / Engineer,TensorGo Technologies,"Remote in Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Azure,639587
Data Scientist,Valiance Analytics,Uttar Pradesh,Full-time,PostedPosted 30+ days ago,Ai,877363
Data Scientist,John Wood Group,"Chennai, Tamil Nadu",Full-time,PostedPosted 3 days ago,SQL,930287
DATA SCIENCE INTERN,Medtek.AI,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,SQL,690095
Data Scientist (Computer Vision),Arkose Labs,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Data Analysis,745345
Data Scientist,InApp,"Thiruvananthapuram, Kerala",Full-time,PostedPosted 4 days ago,Data science,780871
Data Scientist,Clowise Business Solutions,"Mumbai, Maharashtra",Full-time,PostedJust posted,AWS,549531
Senior Data Scientist,Warner Bros. Discovery,"Hyderabad, Telangana",Full-time,PostedPosted 4 days ago,Ai,988024
Data Science Intern - Vertoz,Vertoz,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,GitHub,831986
Python Data Scientist/Analyst,Excellent Opportunity,Remote,Full-time,Employer Active 6 days ago,GitLab,872650
Data Science,Amnet Digital,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,958478
Data Analytics Engineer,Spintly India Private Limited,"Madgaon, Goa",Full-time,PostedJust posted,Ai,386301
Data Scientist,Crypto Mize,Delhi,Full-time,PostedPosted 30+ days ago,R,459688
Machine Learning Engineer,DGN Technologies,"Hyderabad, Telangana",Full-time,Employer Active 5 days ago,R,440159
Senior Data Scientist,Bluevine - India,"Bengaluru, Karnataka",Full-time,PostedJust posted,Azure,318332
Senior Data Scientist,Warner Bros. Discovery,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Git,935402
AM/DM - Data Analyst / Data Scientist / Digital Project Lead,Maruti Suzuki India Ltd,"Gurugram, Haryana",Full-time,PostedPosted 6 days ago,Natural Language Processing,641025
Data Scientist,S&P Global,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data Analysis,604451
Data Scientist / Statistician,Lubrizol Corporation,"Pune, Maharashtra",Full-time,PostedPosted 10 days ago,GitHub,822418
Data Analyst,Innovecture,"Remote in Pune, Maharashtra",Full-time,PostedPosted 13 days ago,Power BI,441098
ML Engineer,HCT INFOTECH,Remote,Full-time,Employer Active 4 days ago,Python,479175
Data Scientist,Perpetual Invention,"Karve Nagar, Pune, Maharashtra",Full-time,Employer Active 11 days ago,Azure,698931
Data Scientist,Global Talent Strategist,"Mumbai, Maharashtra",Full-time,Employer Active 2 days ago,Power BI,971109
IT Trainee/Assistant Engineer in AI/ML,Bhoruka Extrusions,"Mysuru, Karnataka",Fresher,PostedJust posted,GitLab,989013
Data Scientist Associate,JPMorgan Chase & Co,"Vihar Road, Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,GitLab,303603
Global Research / Data Engineering & Analytics,JPMorgan Chase & Co,"Santacruz East, Mumbai, Maharashtra",Full-time,PostedPosted 8 days ago,Power BI,465681
Data science Manager,Schneider Electric,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Python,717605
Data Scientist,Applite Solutions,"Dehradun, Uttarakhand",Full-time,PostedPosted 30+ days ago,AWS,715933
Data Scientist,Attain,"Remote in Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,SQL,953363
Data Scientist,Valiance Analytics,Uttar Pradesh,Full-time,PostedPosted 30+ days ago,Data mining,324800
Data Scientist,Kenvue,"Bengaluru, Karnataka",Full-time,PostedPosted 6 days ago,R,985913
Data Science Internship,DATASPARK,"Calicut, Kerala",Full-time,Employer Active 5 days ago,Ai,726057
Machine Learning Data Engineer,Albireo Tech System,Remote,Full-time,PostedPosted 1 day ago,Python,637260
Data Scientist - I,EagleView,"Remote in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,SQL,560885
Data Scientist (Computer Vision),Arkose Labs,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Statistics,423035
Python/Data Science/Machine Learning,BridgeNext,"Pune, Maharashtra",Full-time,PostedPosted 5 days ago,Ai,683729
Data Scientist,Agnik,India,Full-time,PostedPosted 30+ days ago,Data Analysis,864529
Junior Data Scientist/,WSD Consultant,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,Data Analysis,356197
Data Scientist (Machine Learning),Helius Technologies,India,Full-time,PostedPosted 30+ days ago,AWS,396772
Data Science Trainer,Datamites,"Pune, Maharashtra",Full-time,Employer Active 2 days ago,GitLab,742690
CIB F&BM Control Management - Markets Data Analytics,JPMorgan Chase & Co,"Varthur, Bengaluru, Karnataka",Full-time,PostedPosted 4 days ago,Statistics,525985
Senior Data Scientist,Unidos Technology,"Chennai, Tamil Nadu",Full-time,PostedPosted 1 day ago,Python,317294
Lead Data Scientist,Bluevine - India,"Bengaluru, Karnataka",Full-time,PostedJust posted,R,721938
Data Scientist,Drimlite,"Bengaluru, Karnataka",Full-time,Employer Active 4 days ago,Git,402024
Data Science Intern,Brave AI Lab,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,AWS,884169
Data Scientist,Datonique Labs India Pvt. Ltd,Remote,Full-time,Employer Active 2 days ago,Git,896093
Data Scientist Expert,Sanofi US,"Hyderabad, Telangana",Permanent,PostedPosted 27 days ago,Azure,402384
Applied Data Scientist,dunnhumby,"Gurugram, Haryana",Full-time,PostedPosted 7 days ago,SQL,389173
Senior Data Scientist,Freshworks,"Hyderabad, Telangana",Full-time,Employer Active 19 days ago,Data science,898403
Data Scientist,Flexday,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Git,305664
AI and Data Scientiest,prwatech technologies,"Bengaluru, Karnataka",Full-time,Employer Active 6 days ago,Python,435686
Staff Analytics Engineer,Warner Bros. Discovery,"Hyderabad, Telangana",Full-time,PostedPosted 3 days ago,Analytics,358869
Data Scientist (Machine Learning),Helius Technologies,India,Full-time,PostedPosted 30+ days ago,GitLab,942121
Senior Expert Data Science (Statistician),Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Ai,830712
Data Scientist,Aidewiser Soltek,"Bengaluru, Karnataka",Full-time,Employer Active 3 days ago,Azure,723279
Senior Data Scientist,Unidos Technology,"Chennai, Tamil Nadu",Full-time,PostedPosted 1 day ago,R,862965
Machine Learning Data Engineer,Albireo Tech System,Remote,Full-time,PostedPosted 1 day ago,Ai,860320
Data Insights & Analytics Specialist,MariaDB plc,"Remote in Pune, Maharashtra",Full-time,PostedPosted 28 days ago,PowerShell,801574
"Expert, Data scientist",Schneider Electric,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Machine Learning,688662
Data Science,Mobile Programming India Pvt Ltd,"Bengaluru, Karnataka",Full-time,Employer Active 6 days ago,AWS,784789
Data Scientist,TekIT Solutions,Remote,Full-time,Employer Active 4 days ago,GitHub,341184
Data Scientist,Datonique Labs India Pvt. Ltd,Remote,Full-time,Employer Active 2 days ago,Ai,520911
Applied Data Scientist,dunnhumby,"Gurugram, Haryana",Full-time,PostedPosted 7 days ago,A/B testing,367770
Data Science AI Internship,Nest Software Private Limited,"Remote in Sharifpura, Amritsar, Punjab",Full-time,Employer Active 2 days ago,Data science,338368
Data Scientist,Zazz,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitHub,430472
Data Scientist,Visa,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,PowerShell,328326
Machine Learning Intern,Mindkosh Technologies,Delhi,Full-time,PostedPosted 30+ days ago,Git,772414
Data Scientist,Drimlite,"Bengaluru, Karnataka",Full-time,Employer Active 4 days ago,R,943389
Data Scientist Expert,Sanofi US,"Hyderabad, Telangana",Permanent,PostedPosted 27 days ago,PowerShell,835221
Data Scientist,PayPal,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,Python,332729
Data Scientist,UpSolve Solutions LLP,"Borivali, Mumbai, Maharashtra",Full-time,Employer Active 7 days ago,GitHub,703941
Data Scientist / ML engineer,Samsung Electronics,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Python,673515
Data Scientist - I,EagleView,"Remote in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Python,973108
Data Scientist,Capita,"Pune, Maharashtra",Full-time,PostedPosted 4 days ago,Data Analysis,814931
Data Scientist,Applite Solutions,"Dehradun, Uttarakhand",Full-time,PostedPosted 30+ days ago,Natural Language Processing,784649
Machine Learning Engineer,Talent Folks,"Bengaluru, Karnataka",Full-time,PostedJust posted,PowerShell,301095
Data Scientist,Veniso Solutions,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,PowerShell,654088
Data Scientist,Futurism,India,Full-time,PostedPosted 30+ days ago,Data science,530149
Artificial Intelligence and Machine Learning Graduate - India,Aveva,"Hyderabad, Telangana",Full-time,PostedPosted 5 days ago,Data Analysis,324332
R&D- Data Science and Analytics Lead,PepsiCo,"Remote in Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Python,732367
Data Scientist,embedUR systems,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,Machine Learning,398052
Senior Data Scientist,Freshworks,"Hyderabad, Telangana",Full-time,Employer Active 19 days ago,Git,399176
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",Full-time,Employer Active 3 days ago,GitLab,368441
Data Scientist,Wesco,"Bengaluru, Karnataka",Full-time,PostedPosted 25 days ago,Git,664837
"Junior Associate, Associate Statistical Data Scientist",Pfizer,"Chennai, Tamil Nadu",Full-time,PostedPosted 10 days ago,Power BI,512196
Lead Data and Analytics,MetLife,"Hyderabad, Telangana",Full-time,PostedPosted 20 days ago,Data science,984550
Data Scientist,NutaNXT Technologies,"Remote in Hadapsar, Pune, Maharashtra",Full-time,Employer Active 14 days ago,Data mining,964738
Data Scientist,Nielsen,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedJust posted,SQL,381602
Data Scientist,Ecozen Solutions,"Pune, Maharashtra",Full-time,PostedPosted 22 days ago,Ai,473004
Senior Data Scientist,Microsoft,India,Full-time,PostedPosted 30+ days ago,Git,923740
Associate Data Scientists,DeepTek Medical Imaging,"Remote in Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Git,770458
Staff Data Scientist,GE Digital,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,613172
Staff Engineer - Data Analytics,Stryker,"Gurugram, Haryana",Full-time,PostedPosted 8 days ago,Azure,506937
A&A - Data Science- Manager,Deloitte,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,SQL,742736
Data Scientist I,Worley,"Navi Mumbai, Maharashtra",Full-time,PostedPosted 7 days ago,GitLab,784146
Data Scientist,Wildnet Technologies,Delhi,Full-time,PostedPosted 30+ days ago,Ai,604881
AI - Intern,ATS Corporation,"Bengaluru, Karnataka",Internship,PostedPosted 4 days ago,Natural Language Processing,801923
Data Scientist,Wildnet Technologies,Delhi,Full-time,PostedPosted 30+ days ago,Natural Language Processing,522873
AI & Data_ Data Science _All levels,Deloitte,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,Data science,427427
ML ENGINEER DATA SCIENTIST,Retentia technology private limited,"Hyderabad, Telangana",Full-time,Employer Active 14 days ago,GitLab,342155
Data Science Intern,Ecozen Solutions,"Pune, Maharashtra",Full-time,PostedPosted 17 days ago,Machine Learning,752240
Senior Data Scientist,Assurant,Karnataka,Full-time,PostedPosted 6 days ago,Power BI,792299
Senior Data Scientist - Computer vision,Valiance Analytics,Uttar Pradesh,Full-time,PostedPosted 7 days ago,Power BI,869700
Data Scientist,Growth Natives,"Mohali, Punjab",Full-time,Employer Active 2 days ago,Power BI,514755
Data Scientist,Rohini IT Consulting,Remote,Full-time,Employer Active 8 days ago,Azure,657171
Data Scientist,HILTI,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,GitLab,550085
Data Science Engineer,Aspire Systems,"Chennai, Tamil Nadu",Full-time,PostedPosted 5 days ago,R,692698
Data Scientist / Data Analyst,Nxtlogic Software Solutions,"Gandhipuram, Coimbatore, Tamil Nadu",Full-time,Employer Active 19 days ago,Natural Language Processing,999919
Data Scientist,CodersArts,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,Ai,460856
Staff Data Scientist,Plume,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Ai,308903
Data Scientist 2,Epsilon,"Nagavara, Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,GitHub,982664
Data Science Engineer 1,Emerson,"Remote in Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Power BI,948469
Junior Data Scientist,Ramco Systems,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,GitHub,696752
Machine Learning Intern,Dental Dost Pvt. Ltd.,"Baner Road, Pune, Maharashtra",Full-time,Employer Active 8 days ago,Data Analysis,604743
AL ML Engineer,Wipro Limited,"Hyderabad, Telangana",Full-time,PostedPosted 10 days ago,R,569827
Data Scientist,Wolters Kluwer,"Kalyani Nagar, Pune, Maharashtra",Full-time,PostedPosted 13 days ago,PowerShell,833414
ML Engineer II,Honeywell,"Hybrid work in Hyderabad, Telangana",Full-time,PostedPosted 7 days ago,GitHub,449974
Analyst-Data Science,Amex,"Gurugram, Haryana",Full-time,PostedPosted 4 days ago,R,861674
Research Associate Data Science,Recode Minds,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Statistics,653266
Machine Learning Engineer,Qualcomm,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,832465
Data Scientist- Gen AI bot,Innover,Remote,Full-time,PostedPosted 11 days ago,Machine Learning,766242
Data Scientist,Maruti Suzuki India Ltd,"Delhi, Delhi",Full-time,PostedPosted 30+ days ago,SQL,647291
Data Scientist,MOLECULAR CONNECTIONS,Remote,Full-time,PostedPosted 30+ days ago,Data Analysis,988085
Data Scientist,Kyndryl,"Bengaluru, Karnataka",Full-time,PostedPosted 4 days ago,Data science,716582
Urgent opening for Data Science Trainer,Nettech India,"Mumbai, Maharashtra",Full-time,PostedJust posted,Git,541145
Data Scientist,Square Panda,"Mumbai, Maharashtra",Full-time,Employer Active 2 days ago,Natural Language Processing,530543
Data Analyst,CAP-INDEX ENTERPRISES LLP,"Remote in Calicut, Kerala",Full-time,Employer Active 4 days ago,Data mining,685577
Data Scientist,Thoucentric,"Mumbai, Maharashtra",Full-time,Employer Active 28 days ago,Azure,457063
Senior Data Scientist-Retail Assets,IDFC FIRST Bank,"Mumbai, Maharashtra",Full-time,PostedPosted 19 days ago,Data Analysis,908012
Generative AI Developer,Batish Technologies Pvt. Ltd.,Remote,Full-time,Employer Active 6 days ago,AWS,970283
Data Scientist,Cimpress Technology,"Bengaluru, Karnataka",Full-time,PostedPosted 3 days ago,GitHub,518946
Data Scientist - 2,SatSure Analytics India,"Bengaluru, Karnataka",Full-time,PostedPosted 7 days ago,A/B testing,672326
Artificial intelligence Engineer Intern,Wasserstoff Private Limited,"Fazilpur, Gurugram, Haryana",Full-time,Employer Active 5 days ago,Natural Language Processing,939792
Data science intern,Shyena Tech Yarns Pvt Ltd,"Pune, Maharashtra",Full-time,Employer Active 4 days ago,Data mining,958676
Data Scientist,SAP,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,Power BI,985165
Lead Data Scientist,ILEARNINGENGINES INDIA PRIVATE LIMITED,"Technopark, Thiruvananthapuram, Kerala",Full-time,PostedJust posted,A/B testing,703302
"Data Scientist, AFFS",ADCI - Maharashtra,"Pune, Maharashtra",Full-time,PostedJust posted,PowerShell,513353
Data Scientist,Jet2 Travel Technologies,"Remote in Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Python,910236
Data Scientist,Suitable.ai,"Bengaluru, Karnataka",Full-time,Employer Active 21 days ago,Git,904338
Data Scientist - I (Prompt Engineer),Netomi,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 6 days ago,Azure,998915
Senior Data Scientist,Aera Technology,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,R,993009
Oracle Data Science Architect,Jade Global,"Hyderabad, Telangana",Full-time,PostedJust posted,Natural Language Processing,451566
Senior Machine Learning Engineer,Crescer AI,Remote,Full-time,Employer Active 12 days ago,GitHub,987629
Lead Data and Analytics,MetLife,"Hyderabad, Telangana",Full-time,PostedPosted 20 days ago,SQL,480015
Data Scientist,CodersArts,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,AWS,511882
Data Scientist,Aurigo,India,Full-time,PostedPosted 30+ days ago,Machine Learning,665610
